nama produk,harga,jumlah
Denpoo Mesin Cuci 2 Tabung DW 9292 4P Kapasitas 8 KG,Rp1.532.000.00,750+ terjual
Arashi Laundry AWM 452A Mesin Cuci 1 Tabung 4.5 KG,Rp1.442.800.00,500+ terjual
MESIN CUCI 1 TABUNG AQUA JAPAN AQW 77 DH /  FWT 7600 / PWM 7029 / 7000PGG / AWS-780 / 78DD TOP LOADING 7 KG HIJAB,Rp2.450.000.00,1rb+ terjual
Mesin Cuci 1 Tabung AQUA QW 77 DH 7.5 KG Hijab Series HITAM otomatis,Rp2.381.000.00,250+ terjual
Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,Rp2.600.000.00,750+ terjual
"MESIN CUCI PORTABLE MINI DENPOO DW-3 KAPASITAS 4,5kg",Rp898.000.00,2rb+ terjual
DENPOO MESIN CUCI DW 8907 TURBO FULSTOR 8KG 2 TABUNG,Rp1.443.000.00,6rb+ terjual
Umeda USTIK Lite Stick Vacuum,Rp985.000.00,1rb+ terjual
[ Upgraded ] Airbot Hypersonics MAX Detect Cordless Vacuum Mop Mengepel Penyedot Debu Vacum Cleaner,Rp5.000.000.00,500+ terjual
Deerma CM800 UV-C Vacuum Cleaner Penyedot/Sedot Tungau Anti Debu Kasur,Rp579.000.00,3rb+ terjual
Jetzt V10 PRO Electric UV Anti Dust Mite Vacuum Cleaner Mesin Penyedot Debu Mini dengan Sinar UV 12W & Motor 600W untuk Tidur Sofa & Instrument Garansi 1 Tahun Baterai 6 Bulan,Rp980.000.00,2rb+ terjual
Kurumi KV 04 Lite Anti Dust Mites Cordless UV Vacuum Cleaner,Rp1.650.000.00,500+ terjual
PerySmith V30 Pro Ultrasonic Double Dust Cup Anti Dust Mite UV Vacuum Cleaner Penyedot Debu Tungau Mite Removal Instrument,Rp1.640.000.00,2rb+ terjual
Ecovacs DEEBOT T50S PRO OMNI BLACK Robot Vacuum | 81mm Ultra-Thin Design | TruEdge 2.0 Adaptive Edge Cleaning | AIVI 3D 3.0 OMNI-Approach Technology | ZeroTangle 3.0,Rp16.000.000.00,3rb+ terjual
Panasonic Setrika Kering NI 22AWT / NI-22AWT Gosokan Baju Berat Garansi Resmi,Rp509.000.00,250+ terjual
"Setrika Philips HD1172 ,ceramic coating , 2 X durable philip HD 1172",Rp348.000.00,3rb+ terjual
"SETRIKA PHILLIPS HD1172, Dry iron classic",Rp365.800.00,100+ terjual
MIYAKO SETRIKA EL1000M / EL 1000M / EM-1000 M (400W) GARANSI RESMI,Rp289.900.00,2rb+ terjual
MASPION SETRIKA HA110 / HA 110 / HA-110 (350W) GARANSI RESMI,Rp328.650.00,750+ terjual
PHILIPS HD1172 / HD-1172  SETRIKA KERING CLASSIC - GARANSI RESMI Default,Rp349.900.00,10rb+ terjual
Setrika Listrik Maspion EX-1010 BB / EX1010BB Electric Iron,Rp147.000.00,1rb+ terjual
KIRIN Oven Listrik 19 Liter - KBO-190LW (Low Watt),Rp701.807.00,5rb+ terjual
Oven Listrik Idealife Low Watt Kapasitas 30 Liter MO-3001,Rp2.000.000.00,250+ terjual
Maspion Oven Toaster 9 Liter 500 Watt MOT901S Penghangat Pemanggang Roti Panggangan,Rp402.780.00,100+ terjual
Denpoo Oven Toaster Pemanggang Roti Elektrik DT 125 D,Rp323.000.00,750+ terjual
ELECTROLUX EOT2115X Oven Portable EOT 2115 X standing oven 21 Liter Hitam,Rp1.624.000.00,40+ terjual
SEKAI Oven Listrik Low Watt (21 L) OV 211,Rp706.000.00,750+ terjual
Toshiba Microwave Oven MM-EM24P (BK) Kapasitas 24 Liter,Rp2.165.000.00,250+ terjual
DAIKIN FTC35YV14 / FTC35 AC Split Standard 1.5PK R32 - Indonesia | Blue Fin Coating - Low Voltage Protection - Filter Gin-Ion,Rp6.999.000.00,750+ terjual
Gree AC Standard 1pk GWC-09MOO5 Termasuk Pasang / 09MOO5 - 09MOO5S,Rp4.639.000.00,750+ terjual
AC AQUA JAPAN AQA KR 05 FQDL/AL / KIOS 05r32 / DDS 05CTL 1/2 PK + PASANG R32 LOW WATT,Rp3.348.000.00,750+ terjual
AC SHARP 1 pk + PASANG INSTALASI AH-A 9 UCY TURBO COOL SERIES R32 1PK,Rp3.929.100.00,1rb+ terjual
Rice Cooker 1 LITER ZOJIRUSHI NS-WAQ10,Rp4.400.000.00,250+ terjual
Maspion Rice Cooker Magic Com 1.8 Liter MRJ-1838,Rp533.700.00,30+ terjual
Cosmos Magic Com - CRJ8229BSS - CRJ-8229BSS - Silver/Hitam,Rp399.000.00,100+ terjual
ZOJIRUSHI RICE COOKER IKIGAI PREMIUM 1 Liter NL-GAQ10 MADE IN JAPAN With Steamer/Slow Cooker/Oatmeal/Quinoa,Rp9.300.000.00,250+ terjual
Miyako Magic Com - MCM-528 - Random Colour,Rp309.000.00,250+ terjual
CUCKOO Pressure Rice Cooker 1.8 L CRP-PK1000S Magic Com Penanak Nasi,Rp2.990.000.00,100+ terjual
Cosmos Magic Com - CRJ-1803 - Biru,Rp289.000.00,100+ terjual
Knob Channel HT Yaesu VX6,Rp96.000.00,2 terjual
GREE U-Match Cassette GU71T/A-K,Rp26.399.000.00,7 terjual
Blender TEFAL BL871 Kapasitas 2 Liter Blender Kaca,Rp1.949.000.00,11 terjual
Samsung Microwave Grill MG30T5068CK | MG30T50 30 Liter | MG30T5068,Rp2.999.000.00,5 terjual
NEW LG NanoCell 2021 | LG NanoCell 43 Inch | 43NANO75TPA | 43NANO75,Rp6.000.000.00,5 terjual
SAMSUNG MESIN CUCI TOP LOADING 7 Kg WA70H4200 | WA70H4200SW | Wooble,Rp2.799.000.00,25 terjual
DAIKIN FTKC20TVM4 / FTKC20 AC STAR Inverter Thailand 3/4PK,Rp6.969.000.00,30+ terjual
"MURAH..!!! MURAH..!!! BRACKET LED TV SEMUA MERK TV 28"" - 43"" | BREKET",Rp100.000.00,9 terjual
Ac Midea 2PK MSFQ18CRN8 Dual Filtration 2 PK Turbo Mode MSFQ 18 CRN 8,Rp6.195.000.00,6 terjual
Kulkas 2 Pintu Inverter Panasonic NR-BB201Q-PK 196 liter NRBB201QPK,Rp4.291.000.00,3 terjual
Baterai HT BAOFENG UV-82 - Baofeng Indonesia,Rp150.000.00,20 terjual
SHARP  SJ-426GI-MS kulkas 2 pintu Tempered Glass Mirror PLASMACLUSTER,Rp6.770.000.00,3 terjual
Bracket Bravia LCD LED TV Monitor Ukuran 40-85 inch (Wajib membeli dengan TV),Rp100.000.00,40+ terjual
TOSHIBA 50C350NP UHD 4K GOOGLE SMART TV DOLBY VISION ATMOS 50 Inch 50C350NP  50C350,Rp5.519.000.00,2 terjual
SAMSUNG WF14F5K3AVW Mesin Cuci Front Loading 14 Kg | WF14 | WF14F5K3,Rp10.299.000.00,1 terjual
AQUA KULKAS 2 PINTU I AQR-D270 I aqrd270ls I aqr-d270ds I kulkas promo,Rp3.190.000.00,3 terjual
"SHARP SJ-N162D-SH/SB/SP KULKAS 1 PINTU (BIRU,HIJAU,PINK)",Rp2.135.000.00,3 terjual
