nama produk,harga,jumlah,kategori
Denpoo Mesin Cuci 2 Tabung DW 9292 4P Kapasitas 8 KG,1532000,750,Mesin Cuci
Arashi Laundry AWM 452A Mesin Cuci 1 Tabung 4.5 KG,1442800,500,Mesin Cuci
MESIN CUCI 1 TABUNG AQUA JAPAN AQW 77 DH /  FWT 7600 / PWM 7029 / 7000PGG / AWS-780 / 78DD TOP LOADING 7 KG HIJAB,2450000,1000,Mesin Cuci
Mesin Cuci 1 Tabung AQUA QW 77 DH 7.5 KG Hijab Series HITAM otomatis,2381000,250,Mesin Cuci
Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,2600000,750,Mesin Cuci
"MESIN CUCI PORTABLE MINI DENPOO DW-3 KAPASITAS 4,5kg",898000,2000,Mesin Cuci
DENPOO MESIN CUCI DW 8907 TURBO FULSTOR 8KG 2 TABUNG,1443000,6000,Mesin Cuci
Umeda USTIK Lite Stick Vacuum,985000,1000,Vacuum
[ Upgraded ] Airbot Hypersonics MAX Detect Cordless Vacuum Mop Mengepel Penyedot Debu Vacum Cleaner,5000000,500,Vacuum
Deerma CM800 UV-C Vacuum Cleaner Penyedot/Sedot Tungau Anti Debu Kasur,579000,3000,Vacuum
Jetzt V10 PRO Electric UV Anti Dust Mite Vacuum Cleaner Mesin Penyedot Debu Mini dengan Sinar UV 12W & Motor 600W untuk Tidur Sofa & Instrument Garansi 1 Tahun Baterai 6 Bulan,980000,2000,Vacuum
Kurumi KV 04 Lite Anti Dust Mites Cordless UV Vacuum Cleaner,1650000,500,Vacuum
PerySmith V30 Pro Ultrasonic Double Dust Cup Anti Dust Mite UV Vacuum Cleaner Penyedot Debu Tungau Mite Removal Instrument,1640000,2000,Vacuum
Ecovacs DEEBOT T50S PRO OMNI BLACK Robot Vacuum | 81mm Ultra-Thin Design | TruEdge 2.0 Adaptive Edge Cleaning | AIVI 3D 3.0 OMNI-Approach Technology | ZeroTangle 3.0,16000000,3000,Vacuum
Panasonic Setrika Kering NI 22AWT / NI-22AWT Gosokan Baju Berat Garansi Resmi,509000,250,Setrika
"Setrika Philips HD1172 ,ceramic coating , 2 X durable philip HD 1172",348000,3000,Setrika
"SETRIKA PHILLIPS HD1172, Dry iron classic",365800,100,Setrika
MIYAKO SETRIKA EL1000M / EL 1000M / EM-1000 M (400W) GARANSI RESMI,289900,2000,Setrika
MASPION SETRIKA HA110 / HA 110 / HA-110 (350W) GARANSI RESMI,328650,750,Setrika
PHILIPS HD1172 / HD-1172  SETRIKA KERING CLASSIC - GARANSI RESMI Default,349900,10000,Setrika
Setrika Listrik Maspion EX-1010 BB / EX1010BB Electric Iron,147000,1000,Setrika
KIRIN Oven Listrik 19 Liter - KBO-190LW (Low Watt),701807,5000,Oven
Oven Listrik Idealife Low Watt Kapasitas 30 Liter MO-3001,2000000,250,Oven
Maspion Oven Toaster 9 Liter 500 Watt MOT901S Penghangat Pemanggang Roti Panggangan,402780,100,Oven
Denpoo Oven Toaster Pemanggang Roti Elektrik DT 125 D,323000,750,Oven
ELECTROLUX EOT2115X Oven Portable EOT 2115 X standing oven 21 Liter Hitam,1624000,40,Oven
SEKAI Oven Listrik Low Watt (21 L) OV 211,706000,750,Oven
Toshiba Microwave Oven MM-EM24P (BK) Kapasitas 24 Liter,2165000,250,Oven
DAIKIN FTC35YV14 / FTC35 AC Split Standard 1.5PK R32 - Indonesia | Blue Fin Coating - Low Voltage Protection - Filter Gin-Ion,6999000,750,AC
Gree AC Standard 1pk GWC-09MOO5 Termasuk Pasang / 09MOO5 - 09MOO5S,4639000,750,AC
